1	1	18874	0.021352213	116.3894982	39.9061898	116.389494	39.9059978	1000000
2	18874	107	0.5021951	116.389494	39.9059978	116.3897581	39.901486	1000000
3	107	2858	0.11076054	116.3897581	39.901486	116.3897946	39.9004903	1000000
4	2858	2	0.19349873	116.3897946	39.9004903	116.3898158	39.8987502	1000000
5	3	5393	0.30422392	116.3934744	39.8988392	116.3933574	39.9015736	1000000
6	5393	4	0.50227153	116.3933574	39.9015736	116.3931451	39.9060877	1000000
7	5	6	0.16539942	116.3251522	39.9062496	116.3232206	39.9061352	1000000
8	7	18884	0.016977765	116.3817888	39.8988597	116.3818667	39.8990002	0.00042444412
9	18884	10920	0.1814058	116.3818667	39.8990002	116.3817558	39.900629	0.004535145
10	10920	23526	0.076091714	116.3817558	39.900629	116.3816975	39.9013118	0.0019022928
11	23526	8	0.12338401	116.3816975	39.9013118	116.3816724	39.9024162	0.0030846002
12	9	32899	0.035151195	116.315387	39.9062149	116.315548	39.9065059	1000000
13	32899	10	0.3630412	116.315548	39.9065059	116.315618	39.9097605	1000000
14	11	9167	0.20898885	116.4117253	39.9069042	116.4092757	39.9068643	1000000
15	9167	9225	0.18770066	116.4092757	39.9068643	116.4070765	39.9068048	1000000
16	9225	563	0.1510604	116.4070765	39.9068048	116.4053085	39.9067257	1000000
17	563	12	0.0061773635	116.4053085	39.9067257	116.4052362	39.9067225	1000000
18	13	20182	0.019010779	116.3779386	39.898622	116.3779449	39.8984511	1000000
19	20182	4072	0.1235748	116.3779449	39.8984511	116.378021	39.8973413	1000000
20	4072	9854	0.25207323	116.378021	39.8973413	116.3781691	39.8950772	1000000
21	9854	3662	0.10859146	116.3781691	39.8950772	116.3783133	39.8941069	1000000
22	3662	9804	0.12764393	116.3783133	39.8941069	116.3783954	39.8929607	1000000
23	9804	9815	0.30708727	116.3783954	39.8929607	116.3784502	39.8901998	1000000
24	9815	2348	0.024882467	116.3784502	39.8901998	116.3784577	39.8899761	1000000
25	2348	9811	0.0896511	116.3784577	39.8899761	116.3784696	39.8891699	1000000
26	9811	14	0.09707398	116.3784696	39.8891699	116.3784742	39.8882969	1000000
27	15	34265	0.024110202	116.3945787	39.9933535	116.3947859	39.9932058	1000000
28	34265	16	0.3003562	116.3947859	39.9932058	116.3982942	39.9933848	1000000
29	17	22751	0.13081867	116.3971934	39.9932512	116.397173	39.9920935	0.0026163734
30	22751	18	0.37754095	116.397173	39.9920935	116.3972082	39.9886983	0.007550819
31	19	23204	0.2658062	116.3939401	40.0082142	116.3940184	40.0058245	1000000
32	23204	23207	0.013492173	116.3940184	40.0058245	116.3940224	40.0057032	1000000
33	23207	4288	0.22191422	116.3940224	40.0057032	116.3940971	40.0037083	1000000
34	4288	20213	0.2854719	116.3940971	40.0037083	116.3942037	40.0011423	1000000
35	20213	20218	0.03283334	116.3942037	40.0011423	116.3942278	40.0008476	1000000
36	20218	20230	0.4504141	116.3942278	40.0008476	116.3944087	39.9967993	1000000
37	20230	3683	0.008427881	116.3944087	39.9967993	116.3944137	39.9967236	1000000
38	3683	34258	0.27447903	116.3944137	39.9967236	116.3945481	39.9942573	1000000
39	34258	15	0.100531794	116.3945481	39.9942573	116.3945787	39.9933535	1000000
40	15	23213	0.36430046	116.3945787	39.9933535	116.3946049	39.9900848	1000000
41	23213	34261	0.12559025	116.3946049	39.9900848	116.3946717	39.9889565	1000000
42	34261	34268	0.0494324	116.3946717	39.9889565	116.394698	39.9885124	1000000
43	34268	34260	0.033523858	116.394698	39.9885124	116.3947152	39.9882112	1000000
44	34260	20	0.12108271	116.3947152	39.9882112	116.3947548	39.9871227	1000000
45	21	17518	0.17042394	116.3640579	39.9859263	116.3660573	39.9859731	1000000
46	17518	17485	0.04930196	116.3660573	39.9859731	116.3666359	39.9859803	1000000
47	17485	19242	0.31871244	116.3666359	39.9859803	116.3703753	39.9860603	1000000
48	19242	22	0.10041601	116.3703753	39.9860603	116.3715515	39.9861182	1000000
49	23	24	0.28517717	116.4020469	39.9476009	116.4053914	39.9476591	1000000
50	25	26	0.019295001	116.4006158	39.9064588	116.4004682	39.9065903	1000000
51	27	9246	0.37948382	116.4025943	39.9319029	116.402742	39.928492	1000000
52	9246	28	0.29089582	116.402742	39.928492	116.4028883	39.9258827	1000000
53	29	30	0.05489034	116.3944101	39.9809973	116.393981	39.9813655	0.001829678
54	31	32	0.057222914	116.391715	39.9809118	116.3921356	39.981313	0.0019074305
55	33	12965	0.3415231	116.4020434	39.9477159	116.3980371	39.9477018	1000000
56	12965	12969	0.3016094	116.3980371	39.9477018	116.3944993	39.9476649	1000000
57	12969	34	0.21590704	116.3944993	39.9476649	116.3919667	39.9476426	1000000
58	35	36	0.018014709	116.4207538	39.9071036	116.4207564	39.9069416	1000000
59	2	37	0.013974528	116.3898158	39.8987502	116.3898245	39.8986247	0.00019963611
60	38	39	0.44061464	116.3934817	39.8987478	116.3985895	39.8992743	1000000
61	40	27	0.012707862	116.4025886	39.9320171	116.4025943	39.9319029	1000000
62	41	9531	0.2008815	116.3897402	39.9387625	116.3898366	39.9369575	0.0028697357
63	9531	574	0.09936913	116.3898366	39.9369575	116.3898843	39.9360646	0.001419559
64	574	2821	0.10139487	116.3898843	39.9360646	116.389933	39.9351535	0.0014484981
65	2821	566	0.03323061	116.389933	39.9351535	116.389949	39.9348549	0.000474723
66	566	42	0.30917907	116.389949	39.9348549	116.3900969	39.9320767	0.004416844
67	43	9459	0.09892641	116.3968507	39.93868	116.3980109	39.9386664	0.0019785282
